company,role,location,batch,target_graduation,deadline,application_link,link_type,source,evidence,verification_status,confidence,checked_at,notes
蔚来,软件研发（数字技术类）,多地,2027届技术类提前批,2027,2026-08-14,https://campus.nio.com/,official,https://campus.nio.com/,当前技术类提前批岗位分类包含软件研发,likely_valid,0.78,2026-07-19T18:19:30+08:00,"正式校招；不含单列的软件测试岗位; final_url=https://campus.nio.com/; validation_evidence=company, recruiting; reachable with partial keyword match"
PDD集团,服务端/客户端/Web前端/AI Agent研发,多地,2027届校招,2027,2026-08-23,https://careers.pddglobalhr.com/campus/,official,https://careers.pddglobalhr.com/campus/,官方2027校招职位页列出多类软件开发岗位,needs_review,0.50,2026-07-19T18:19:30+08:00,"正式校招; final_url=https://careers.pddglobalhr.com/campus/; validation_evidence=company, recruiting; reachable but login/captcha/access-control keywords were found"
蚂蚁集团,Java/C++/Go/Python/前端/客户端/Agent研发,多地,2027届实习/转正实习,2027,unknown,https://talent.antgroup.com/campus/home,official,https://www.antgroup.com/news-media/press-releases/1773129600000,官方春招覆盖毕业时间至2027-10且技术岗位占比高；职位明细含多类开发,likely_valid,0.60,2026-07-19T18:19:30+08:00,当前按27届实习计，不按正式秋招计; final_url=https://talent.antgroup.com/campus/home; reachable but no readable page text
正浩EcoFlow,电力电子软件/嵌入式软件/后端,深圳/苏州/西安等,2027届提前批,2027,unknown,https://ecoflow.jobs.feishu.cn/602892/,official,https://ecoflow.jobs.feishu.cn/602892/,当前批次可检索到软件开发类职位,likely_valid,0.78,2026-07-19T18:19:30+08:00,"偏嵌入式与能源产品软件; final_url=https://jobs.ecoflow.com/602892/; validation_evidence=company, recruiting; reachable with partial keyword match"
阿里星,AI Infra/芯片软件栈/Agent研发,杭州等,2027届阿里星,2027,unknown,https://campus-talent.alibaba.com/campus/alistar,official,https://campus-talent.alibaba.com/campus/alistar,官方项目页面向2027届并明确AI芯片、Agent和软件研发提效方向,needs_review,0.45,2026-07-19T18:19:30+08:00,精英项目，非普通业务开发; final_url=https://campus-talent.alibaba.com/campus/alistar; validation_evidence=recruiting; reachable but keyword match is weak
麦米电气,未确认,深圳/苏州等,2027届校招提前批,2027,unknown,unknown,unknown,unknown,当前披露以电力电子、数字仿真、磁性器件、流体与热设计方向为主,needs_review,0.20,2026-07-19T18:19:30+08:00,未核到本批次明确SWE岗位; missing application_link
莉莉丝游戏,游戏引擎/客户端等技术类开发,上海等,2027届秋招提前批,2027,2026-10-30,https://jobs.lilith.com/,official,https://career.cuhk.edu.cn/en/job/view/id/468784,当前提前批开放技术类岗位；官网动态更新职位,needs_review,0.50,2026-07-19T18:19:30+08:00,"正式校招; final_url=https://jobs.lilith.com/; validation_evidence=company, recruiting; reachable but login/captcha/access-control keywords were found"
广东南粤银行,总行科技专培生,广州等,实际为2026校园招聘,2026,2026-08-02,unknown,unknown,https://jy.gzhu.edu.cn/web/Index/jobs-brief-detail?id=SSUXSVK,2026-07-15公告标题与对象均为2026校园招聘,needs_review,0.20,2026-07-19T18:19:30+08:00,图片误标为2027届；岗位也不是明确SWE; missing application_link
新凯来,软件开发工程师,深圳等,2027届校招提前批,2027,2026-07-31,https://career.sicarrier.com/,official,https://career.cuhk.edu.cn/job/view/id/468634,当前提前批公告及关联岗位资料包含软件开发工程师,likely_valid,0.78,2026-07-19T18:19:30+08:00,"偏工业设备控制与软件; final_url=https://career.sicarrier.com/; validation_evidence=company, recruiting; reachable with partial keyword match"
中证指数,数据与知识工程/数据治理,上海,2027届实习,2027,unknown,https://jobs.51job.com/all/coVDVTMwJpAz0CbgZmAGI.html,third_party,https://jobs.51job.com/all/coVDVTMwJpAz0CbgZmAGI.html,当前实习职位包含数据与知识工程、数据治理,needs_review,0.55,2026-07-19T18:19:30+08:00,SWE邻近，非典型前后端开发; final_url=https://jobs.51job.com/all/coVDVTMwJpAz0CbgZmAGI.html; validation_evidence=recruiting; recruiting page found but company match is weak
浩鲸科技,未核到开发岗,杭州等,2027届实习,2027,unknown,unknown,unknown,unknown,当前批次公开职位集中于测试、交付、售前、项目管理等,needs_review,0.20,2026-07-19T18:19:30+08:00,测试不计入狭义SWE; missing application_link
芯动科技,GPU软件/AI软件栈/嵌入式软件/HPC,武汉/苏州/西安等,2027届校招,2027,unknown,https://job.hust.edu.cn/zpinfo1/2407049.htm,third_party,https://job.hust.edu.cn/zpinfo1/2407049.htm,当前校方公告列出GPU软件、AI软件栈、嵌入式和HPC岗位,needs_review,0.50,2026-07-19T18:19:30+08:00,"按公告内二维码或链接申请; final_url=https://job.hust.edu.cn/zpinfo1/2407049.htm; validation_evidence=company, role, recruiting; reachable but login/captcha/access-control keywords were found"
网易游戏雷火,游戏引擎/客户端/服务端/前后端开发,杭州等,2027届秋招,2027,2026-10-15,https://leihuo.163.com/campus/,official,https://leihuo.163.com/campus/,官方校招入口开放；技术类岗位覆盖游戏开发栈,likely_valid,0.78,2026-07-19T18:19:30+08:00,"正式校招; final_url=https://leihuo.163.com/campus/; validation_evidence=company, recruiting; reachable with partial keyword match"
视源股份CVTE,AI应用/嵌入式软件,广州等,2027届暑期实习,2027,unknown,https://campus.cvte.com/,official,https://career.cuhk.edu.cn/job/view/id/468615,当前2027暑期实习软件类包含AI应用和嵌入式软件工程师,valid,0.92,2026-07-19T18:19:30+08:00,"实习，不是正式秋招; final_url=https://campus.cvte.com/; validation_evidence=company, role, recruiting; matched company and recruiting context"
TP-Link,软件/云计算开发/SRE开发/前端,深圳等,2027届秋招,2027,unknown,https://hr.tp-link.com.cn/,official,https://hr.tp-link.com.cn/,官方2027招聘页可检索到多类软件开发职位,likely_valid,0.78,2026-07-19T18:19:30+08:00,"正式校招; final_url=https://hr.tp-link.com.cn/; validation_evidence=company, recruiting; reachable with partial keyword match"
4399,游戏客户端/服务端/Web/引擎等技术类,广州等,2026/2027届实习,2027,unknown,https://hr.4399om.com/campus/,official,https://hr.4399om.com/campus/,官方页当前正式校招为2026届，同时开放2026/2027届实习通道,needs_review,0.45,2026-07-19T18:19:30+08:00,只确认27届实习通道；具体在招职位以官网为准; final_url=https://hr.4399om.com/campus/; validation_evidence=recruiting; reachable but keyword match is weak
OPPO,应用开发/后端基础平台/客户端/系统软件,深圳/东莞等,2027届校招,2027,unknown,https://careers.oppo.com/campus/post,official,https://careers.oppo.com/campus/post,官方岗位页显示2027届应届生校园招聘及软件类岗位,likely_valid,0.78,2026-07-19T18:19:30+08:00,"正式校招; final_url=https://careers.oppo.com/campus/post; validation_evidence=company, recruiting; reachable with partial keyword match"
腾讯青云计划,AI技术专项（普通SWE未确认）,深圳/北京等,2027届青云计划,2027,unknown,https://careers.tencent.com/campusrecruit.html,official,https://careers.tencent.com/campusrecruit.html,当前公开材料集中于大模型、多模态、Agent、强化学习等AI方向,needs_review,0.45,2026-07-19T18:19:30+08:00,AI研究/工程可投；未确认通用前后端SWE; final_url=https://careers.tencent.com/campusrecruit.html; validation_evidence=recruiting; reachable but keyword match is weak
卓驭,后端/C++/Android/前端/AI软件/嵌入式,深圳等,2027届校招,2027,unknown,https://we.zyt.com/campus/jobs,official,https://ejob.dhu.edu.cn/single/2026/07/09/2607091109005491086219111514160682210002.html,当前校方公告列出多个软件研发方向并给出官方投递入口,likely_valid,0.78,2026-07-19T18:19:30+08:00,"智驾软件方向; final_url=https://we.zyt.com/campus/jobs; validation_evidence=company, recruiting; reachable with partial keyword match"
